,"(0, 0.0001)","(0, 0.0042)","(0, 0.0367)","(0, -0.0025)","(0, -0.0009)","(0, -0.0)","(1, 0.0)","(1, 0.0031)","(1, 0.0113)","(1, -0.0078)","(1, -0.0016)","(1, -0.0)","(2, 0.0006)","(2, 0.0032)","(2, 0.0077)","(3, 0.0005)","(3, 0.0015)","(3, 0.0038)","(3, -0.0025)","(4, 0.0007)","(4, 0.0022)","(4, 0.0071)","(-1, None)"
"(1, -0.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(2, 0.0006)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0.0032)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666
"(2, 0.0077)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(3, 0.0005)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(3, 0.0015)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(3, 0.0038)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, -0.0025)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(4, 0.0007)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(4, 0.0022)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 0.0071)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-1, None)",0.06837606837606838,0.02564102564102564,0.008547008547008548,0.008547008547008548,0.03418803418803419,0.042735042735042736,0.05982905982905983,0.05982905982905983,0.017094017094017096,0.0,0.06837606837606838,0.017094017094017096,0.0,0.03418803418803419,0.0,0.008547008547008548,0.008547008547008548,0.0,0.008547008547008548,0.02564102564102564,0.0,0.0,0.5042735042735043
